page 2	IT would appear that one Chinese contemporary (Wah Tze Yat Po) was not not altogether correct in its details of the recent fatal collislon on the Canton River.
page 3	THE CHINA-JAPAN WAR. - REUTER SOMEWHAT MIXED.
page 3	THE EARTHQUAKE IN SOUTHERN ITALY.
page 3	THE WAR IN THE DUTCH INDIES.
page 3	NEWS AT LAST. - ANOTHER JAPANESE VICTORY.
page 3	THE CHINESE NAD JAPAN SE FLEETS.
page 3	RIVAL WAR CORRESPONDENTS.
page 3	AN INCIDENT AT HONGKONG.
page 3	THE 'JUMNA.'
page 3	THE PENALTY OF BEING A 'TOFF.'
page 3	INCENDIARY FILES ON BRITISH COTTON SHITS.
page 3	CHINA AND JAPAN.
page 3	THE FIGHTING IN WAZIRISTAN.
page 3	CENTRAL AFRICA FOR BRITISH INDIN COLONISTS.
page 3	'BOKHARA' INSURANCE SUITS.
page 3	AN OFFICER'S TURF CAREER.
page 3	THEFT OF ARMS AT ACRA.
page 3	A SENSATIONAL CRIMINAL CSAE.
page 3	A TOWER OF SILENCE CASE.
page 3	ENGLISH MEDIATION AGAIN SUGGESTED.
page 3	MANCHESTER ATD EIMETALLISM.
page 3	THE MANCRESTER COTTON TRADE AND THE SHIP CANAL.
