page 2	MR Wise will hold an inquiry at the Magistracy to-morrow, into the death of private Charles Hill, of the Argyll and Sutherland Highlanders who died under somewhat suspicious circumstances the other day.
page 3	THE HARBOUR SUNDAY LABOUR QUESTION.
page 3	MR HO AMEI TO THE REGISTRAR-GENERAL.
page 3	THE REGISTRAR-GENERAL TO MR HO AMEL.
page 3	MR HO AMEI TO THE ACTING GOVERNOR.
page 3	THE THREATENED WAR.
page 3	RIOTS NEAR CHUNGKING.
page 3	THE CHUNGKING FIASCO.
page 3	FACTS ABOUT SILVER.
page 3	FRANCE AND SIAM.
page 3	LORD SALISBURY'S STATEMENT.
