page 2	IT is only a little more than five months since Lord Salisbury and Baron Alphonse de Courcel, representing on the one part the British Empire and on the other the French Republic.
page 3	THE DECEASED WIFE'S SISTER BILL.
page 3	THE REVOLT IN MASHONALAND.
page 3	FREE SILVER COINAGE IN THE UNITED STATES.
page 3	THE PARIS EXHIBITION.
page 3	THE INCOME TAX.
page 3	OBSEQUIES OF THE LATE M. SIMON.
page 3	GENERAL BARATIERI ACQUITTED.
page 3	SIAMESE PRINCES IN PARIS.
page 3	THE JAPANESE DISASTER.
page 3	A DEPRESSION.
page 3	RUSSIA ORDERS JAPAN OUT OF FORMOSA!
page 3	WHAT THEY THINK OF IT IN JAPAN.
page 3	A PICTURE OF DUTCH COLONIAL LIFE.
page 3	EARLY MORNING.
page 3	RIJSTTAFEL GUTTA PERCHA LIVERS.
page 3	SOCIAL LIFE.
page 5	EFFECTS OF OPENING UP CHINA TO TRADE.
page 5	THE TOO CANDID REPORTER.
page 5	THE GAME OF POKER.
page 5	ADVICE TO PLAYERS.
