page 3	NOW we are threatened with elaborate attempts to reform the "Heathen Chinese" in the gaol of this Colony, it may be worth noting that the sacred precincts of the Palace at Peking, and even the more sacred archives within them.
page 4	Canton.
page 4	CHINA AFFAIRS AT HOME.
page 4	Police Intelligence.
page 4	ALLEGED BRUTAL ASSAULT.
page 4	INQUEST.
page 4	A BURGLARY.
page 4	LARCENY.
page 4	A LOQUACIOUS COMFLAINANT.
page 4	ASSAULT.
page 4	SUPREME COURT.
page 4	IN CRIMINAL SESSIONS.
page 4	Regina v. Chun Afoo.
page 4	Regina v. So Achoy.
page 4	LARCENY.
page 4	LAECENY AND FREVIOUS CONVICTION.
page 4	LARCENY OF A WATCH.
page 4	IN SUMMARY JURISDICTION.
page 4	The Straits.
page 4	THE APPOINTMENT OF A CHINESE CONSUL AT SINGAPORE.
page 4	LOCAL INDUSTRY.
page 4	YOKOHAMA.
page 4	THE DEATH OF SAIGO.
page 6	Canton.
page 6	CHINA AFFAIRS AT HOME.
page 6	INQUEST.
page 6	Police Intelligence.
page 6	ALLEGEDBRUTAL ASSAULT.
page 6	A BURGLARY.
page 6	LARCENY.
page 6	A LOQUACIOUS COMPLAINANT.
page 6	ASSAULT.
page 6	SUPREME COURT.
page 6	IN CRIMINAL SESSIONS.
page 6	LABCENY.
page 6	LAECENY AND FREVIOUS CONVICTION.
page 6	LARCENY OF A GOLD WATCH.
page 6	IN SUMMARY JURISDICTION.
page 6	LOCAL INDUSTRY.
page 6	YOKOHAMA.
page 6	THE DEATH OF SAIGO.
page 6	The Straits.
page 6	APPOINTMENT OF A CHINESE CONSUL AT SINGAPORE.
