page 2	WE have already recommended that the official aid proposed to be given to the Po Leung Kuk Committee be sanctioned by the Legislative Council, and after prerusing the objections raised. 
page 3	THE GERMAN CHANCELLOR AND THE EDUCATION BILL.
page 3	DISTURBANCE AT QUILIMANE.
page 3	THE FATSHAN SEIZURE.
page 3	AMOY.
page 3	LOOTING BY CHINESE TROOPS.
page 3	MEMBERS OF THE CHINESE IMPERIAL CLAN ON THE RAMPAGE.
page 3	SUNDAY COALING.
page 3	MR. HENNIKER HEATON AND THE POST OFFICE.
page 3	THE OPIUM TRAFFIC.
page 3	A MURDERER AITACKS A JUDGE.
page 3	THE MISSING STEAMER 'DEACON.'
