page 2	THE closing official letter of the Hartigan correspondence is such as to make the warmest friends of His Excellency almost despair. It is the snarl of a man who bas got the worst of a fight.
page 3	TELEGRAMS.
page 3	THE KING OF ITALY.
page 3	CRISIS IN SPAIN.
page 3	FRENCH NEWS.
page 3	THE SANIIARY BOARD.
page 3	THE NEW PRESIDENT.
page 3	THE NIGHT -SOIL QUESTION AGAIN.
page 3	WANTED,A LETTER.
page 3	THE DISPOSAL OF THE CITY REFUSE.
page 3	AN ANGRY 'TIFF.'
page 3	THE HONGKONG AND KOWLOON WHARF AND GODOWN CO.
page 3	NEWS BY THE FR NCH MAIL.
page 3	THE INDIAN FACTORY ACT.
page 3	THE MINERS' STRIKES IN GERMANY.
page 3	THE AMERICAN COTTON PLANTERS AND JUTE SACKING.
page 3	THE ALLEGED DISCONTENT IN UPPER BURMA.
page 3	MEETING OF NEWCASTLE MINERS INCREEASED WAGES DEMANDED.
page 3	PLOTS IN SPAIN.
page 3	AGRARIAN CRISIS IN ITALY.
page 3	KOWLOON TRADE REPORT, FOR THE YEAR 1888.
