page 2	THE calendar for the Criminal Sessions commenced at the Supreme Court yesterday is one of the lheaviest we remember.  Thirty-six committals for trial in one month is undoubtedly an extraordinary circumstance for this Colony.
page 3	INQUEST.
page 3	Police Intelligence.
page 3	A DRUNKEN "CELESTIAL."
page 3	DRUNKENNESS.
page 3	UNLAWFUL POSSESSION.
page 3	PETTY THEFT.
page 3	LARCENY.
page 3	LARCENY OF A COCOA-NUT.
page 3	THE ALLEGED BRUTAL ASSAULT.
page 3	IN ORIMINAL SESSIONS.
page 3	Regina v. Lam Ahee.
page 3	ROBBERY WITH VIOLENOE.
page 3	Regina v. Ling Afat.
page 3	LARCENY AND PREVIOUS CONVICTION.
page 3	"HONOUR TO WHOM"&C.
page 3	THE PORTER CASE.
page 3	DIARY OF THE WAR.
page 3	CRIMINAL LIABILITY OF SHIP MASTERS.
