page 2	IT has been forced upon public attention lately, that something should be done to protect the soldiers and sailors in Hongkong from being supplied with liquor which is calculated to poison and madden those.
page 3	THE RUSSIANS OCCUPY PORT ARTHUR.
page 3	BRITISH AND JAPANESE CO-OPERATING.
page 3	THE PRESS AND THE KIEL SPEECHES.
page 3	THE GERMAN CHINA SQUADRON.
page 3	THE COCK THAT CROWS IN THE MORN.
page 3	WHY SHOULD I JOIN THE NAVY LEAGUE?
page 3	ENGLAND SEES HER TRADE FALLING AWAY.
page 3	LOSS OF THE 'RUTHEROLEN.'
page 3	PRAISING THE DREIDURD.
page 3	SPEECH BY LORD SALISDURY.
page 5	MONETARY COMMISSION MEETS AGAIN.
page 5	YELLOW FEVER ON THE 'STRATHDON.'
page 5	THE LOVAT PEERAGE.
page 5	SENSATIONAL SUICIDE IN THE SCOTCH CAPITAL.
page 5	SERIOUS CONDITION OF TWO 'GRAND OLD MEN.'
