page 6	Hongkong and Shanghai Banking Corporation.
page 7	HONGKONG'S NEW GOVERNOR.
page 7	SIR HENRY MAY APPOINTED.
page 7	BRITISH COLUMBIA AND ORIENTALS.
page 7	P TRONAGE APPOINTMENTS.
page 7	KING GERORGE V.
page 7	UNPRICEDENTED TURKISH HONGOURS.
page 7	U.S. ARMY SENSATION.
page 7	GENERAL AINSWORTH TO BE COURTMARTIALLED.
page 7	TOKYO TRAMS AND LIGHT.
page 7	MUNICIPALIS ATION LOAN.
page 7	LOAN SIGNED.
page 7	M.C.O. GOING STRONG.
page 7	POOR SHOW BY N.S. WALES.
page 7	BRITISH COAL ORISIS.
page 7	GENERAL STRIKE LIKELY.
page 7	Situation Exoeedingly Serious.
page 7	THE CHINESE REPUBLIC.
page 7	YUAN SHIH KAI ELECTID PRESIDENT.
page 7	LORD LISTER'S DEATH.
page 7	FUNERAL SERVICE IN THE ABBEY.
page 7	AUSTRALIAN POLITICS.
page 7	BRITONS IN PORTUGUESE COLONIES.
page 7	BRITAIN AND GERMANY.
page 7	THE NEW SPIRIT.
page 7	HOME POLITICS.
page 7	AMINDMENTS TO ADDRESS DEFEATED.
page 7	SIR H NRY MAY.
page 7	Arrives in June.
page 7	ARRIVAL OF OF RMAN FLAGSHIP.
page 7	To-day's Official Sanding.
page 7	TRAINING NOTES.
page 10	FUNERAL OF THE LATE MISS MAUDE KENNEDY.
page 10	A SEAMAN'S STRANGE CONDUCT.
