page 2	THE report of the Colonial Snrgecn is an usual very interesting reading, and is replace Site matter that is well worthy of the study and reflection of those whose lot is temporarily of permanently cast in this colony.
page 3	TELEGRAMS.
page 3	ROYAL ALLOWANCES ASKED FOR.
page 3	ATTACKS ON THE SPANISH GOVERNMENT.
page 3	THE POPE TO LEAVE ROME.
page 3	THE MARINBURK FURNITURE COMPANY, LIMITED.
page 3	THE REPORT OF THE COLONIAL SURGEON.
page 3	POLICE.
page 3	TROOPS.
page 3	GOVERNMENT OIVIL HOSPITAL.
page 3	SMALL POX HOSPITAL.
page 3	VICTORIA GAOL.
page 3	THE EFFECTS OF OPIUM SMOKING.
page 3	LUNATIC ARYLUM.
page 3	TUNG WA HOSPITAL.
page 3	TEMPORARY LOCK HOSPITAL.
page 3	THE HEALTH OF THE COLONY.
page 3	THE CHOLERA OUTBREAK.
page 3	THE SMALL POK OCTBREAK.
page 3	LATE TELEGRAMS.
page 3	THE EMIN RELIEN EXPEDITION.
page 3	MISSIONARIES HELD TO BANSOM IN AFRICA.
page 3	CARTERS STRIKE IN CALCUTEA.
