page 2	IN the Quiter one of the most interesting srticles is that by Rev. H. B. Freeman on The Queen's Maundy Gifte, desoribing a quaint and ancient ceremony which was performed up till the reign of James IL.
page 3	BOMBARDMENT OF CORREGIDOR ISLAND.
page 3	ARRIVAL OF THE ESMERALDA.
page 3	THE REBEL LEADER.
page 3	THE EXODUS FROM MANILA.
page 3	THE SPANISH AMERICAN WAR.
page 3	THE POWERS AND THE UNITED STATES.
page 3	THE C. D. O. IN THE STRAITS.
page 3	THE PLAGUE OUTBREAK IN CALCUTTA.
page 3	HONGKONG VOLUNTEER CORPS.
page 3	PROMENADE CONCERT.
page 3	PRIZE DONORS.
page 3	THE RETIRAL OF BISHOP BURDON.
page 3	LETTER BY REV. R. F. COBBOLD.
page 3	THE FAR EAST.
page 3	THE DUKE OF YORK.
page 3	THE ANTI-AMERICAN DEMONSTRATIONS.
page 3	CHARGE OF ATTEMITER MURDER.
page 3	THE POONA MURDERS.
page 3	MAULED BY A TIGER.
page 3	THE OUTBREAT OF PLAGUE AT CALCUTTA.
page 3	HEAVY STORM AT CALCUTTA.
page 3	THE FIRE ON THE 'OTTERBURN.'
page 3	RUSSIA IN CENTEAL ASIA.
page 3	ARMY NEWS.
page 3	THE 'CHINA'.
page 3	A MAIL TRAIN DACOITED.
page 3	THE PERSIAN GULF.
page 3	THE N. W. FRONTIER.
page 3	ARMY NEWS.
page 3	JUBILEE MEDAL FOR THE LATE MAJOR GENERAL YEATMAN BIGG.
page 3	GENERAL YEATMAN BIGGS.
page 3	THE FLAGUE AT BOMBAY.
