page 2	THE history of the rise and fall of the Ra-wang Tin Mining Company, as it is being unfolded in the pages of our Singapore contemporaries, reveals such a recklessness of speculation and such a general rottenness.
page 3	STONE BLASTING IN THE HILL DISTRICT.
page 3	THE SURVEYOR GENERAL MAKES A DISCOVERY.
page 3	A BOWLING GREEN.
page 3	NANKING.
page 3	LATE TELEGRAMS.
page 3	BOULANGER ON TRIAL.
page 3	PARNELL LIKELY TO GO TO INDIA.
page 3	EMPEROR WILLIAM'S VISIT A SUCCESS.
page 3	A LANDLORD'S AGENT SHOT.
page 3	A VILLAGE SURNED.
page 3	MUST MILAN GO.
page 3	PRINCE ALEXANDER.
page 3	A NOTABLE FUNERAL.
page 3	TENNYSON CELEBRATES HIS EIGHTIETH BIRTHDAY.
page 3	OUT OF THE WILDERNESS.
page 3	TWO MILES A MINUTE.
page 3	GERMANY AND RUSSIA.
page 3	PEACE IN RUROPE.
page 3	THE FRENCH REPUBLIC.
page 3	THE SULTAN SENDS A TIMELY NARNING TO GREECE.
page 3	A PRECAUTIONARY MEASURE.
page 3	COMMERCE ON THE CONGO.
page 3	AFFAIRS IN ABYSSINIA.
