page 2	A JAPANESE war correspondent is of opinion that the Chinese are easy to subjugate, but difficult to govern. The reverse has hitherio been the opinion of Western 'experts'.
page 3	AMOY TRAINING NOTES.
page 3	THE TRAGEDY AT THE CENTRAL POLICE STATION.
page 3	THE FRENCH EXPEDITION TO MADAGASCAR.
page 3	CONCILIATION IN RUSSIAN POLAND.
page 3	THE SIBERIAN RAILWAY.
page 3	SERIOUS CHARGE AGAINST NEWSPAPER MANAGERS.
page 3	ITALY ECONOMISING.
page 3	ENGLISH OPINION ON ASIATIC POLITICS.
page 3	ANOTHER CHINESE GENERAL DOOMED.
page 3	EXCITEMENT AT SHANGHAI.
page 3	THE FALL OF PORT ARTHUR.
page 3	MUTINY ON THE NANSHAN.
page 3	THE CHINA-JAPAN WAR.
page 3	THE CHINA-JAPAN AMERICA TREATY.
