page 2	The unveiling recently of the statue of John Milton which by the piety of the Chairman of the Cripplegate Foundation,has been erected close to the church of St.Giles, was a graceful innovation in the history of City functions.
page 4	Chinese Partnerships.
page 4	The Sanitation of the Port.
page 4	The Metric System.
page 4	The V. R. U. Magaxine.
page 4	The Kowloon Church.
page 4	Bowling Competition.
page 4	Bad News from Kwangsi.
page 4	The Circus.
page 4	Rowdy Russians.
page 4	PURCHASE OF FURTHER SHIPS CONTEMPLATED.
page 4	A Ruse to Circumvent the Powers.
page 4	Capture of 203-Meter Hill.
page 4	Possible Ruse de Guerre.
page 4	The Siege of Port Arthur.
page 4	British Trade Returns.
page 4	Chrysanthemum Salad.
page 5	THE RUSSIAN SEIZURES.
page 5	QUESTION OF CONDITIONAL CONTRABAND.
page 5	Russian Supreme Prize Court's Decision.
page 5	REFORM IN RUSSIA.
page 5	THE UNITED STATES NAVY.
page 5	RUSSIA AND THE DARDANELLES.
page 5	THE COTTON CROP IN AMERICA.
page 5	IMPRESSIONS OF AN INLAND TOUR.
page 5	A Frip in Fukien.
page 5	OPENING OF THE JAPANESE DIET.
page 5	The Emperor's Speech.
page 7	THE HIGHEST BRIDGE IN THE WORLD.
