page 2	WHEN the Imperial Edict was promulgated a few weeks ago, in response to a British ultimatum, degrading Lin Pingchang, the anti-foreign Viceroy of Szechuen, we were told by the sinologues of the North.
page 3	TREACHEROUS MASSACRE OF MANILA DESERTERS.
page 3	A TERRIBLE TRAGEDY IN BRITISH NORTH BORNEO.
page 3	THE POLITICAL HORIZON.
page 3	GREAT BRITAIN AND ASHANTE.
page 3	FRENCII POLITICS.
page 3	THE SITUATION IN CANTON.
page 3	PRCCLAMATION.
page 3	THE FAR EASTERN QUESTION.
page 3	III. -- THE MORAL DANKRUPTEY OF CHINA.
page 3	ENGLAND AND VENEZUELA.
page 3	THE BRITISH NAVY.
page 3	H.M.S. 'VICTORIOUS.'
page 3	FRANCE AND MADAGASCAR.
page 3	A DANISH EXPEDITION.
