page 2	A CORRESPONDENT is good enough to send us a copy of the weekly edition of The Times containing information regarding the political and financial crisis in Newfoundland. Our correspondent.
page 3	JAPANESE VERSUS CHINESE.
page 3	FREE FIGHT ON THE 'PALLAS'.
page 3	THE HONGKONG MUSEUM.
page 3	THE OPINION OF AN EXPERT.
page 3	ABYSSINIA.
page 3	FOUNDERING OF A LAUNCH.
page 3	SEVEN LIVES MISSING.
page 3	THE GILGIT AGENCY.
page 3	THE MONTEIL EXPEDITION.
page 3	AN AUDIENCE WITH THE POPE.
page 3	THE NEW SECRETARY OF STATE FOR THE COLONIES AND THE UNIONIST POLICY.
page 3	ENGLISH COUNTY CRICKET.
page 3	THE 'DAILY NEWS' ON CHITRAL.
page 3	THE INTERNATIONAL RAILWAY CONGRESS.
page 3	BRITISH POLITICS.
page 3	THE SHAHZADA NASRULLA.
page 3	CRICKET.
page 3	THE NEW MINISTRY.
page 3	OBITUARY.
