page 2	OUR correspondent "M." has very clearly pointed out one feature in the Glamis Castle proceedings; and although the injustice has been previously noticed, there is every reasin why such points should be well kept before the public.
page 3	DESTITUTE.
page 3	DISORDERLY CONDUCT.
page 3	A DANGDEROUS INDIVIDUAL.
page 3	ALLEGED THEFT.
page 3	UNLAWFUL POSSESSION.
page 3	ABETTING PUBLIC GAMBLING.
page 3	LOTTERY TICKETS.
page 3	FOOCHOW.
page 3	YOKOWAMA.
page 3	THE LOSS OF THE BRITISH STEAMER AMERICA.
