page 2	THERE has been a correspondence in a Ceylon paper about the origin of the quotation, 'Cleanliness is next to godliness'.
page 3	BRITISH INTERESTS IN THE WAR.
page 3	THE PROTECTION OF FOREIGNERS IN CHINA.
page 3	NEWS FROM THE SEAT OF WAR.
page 3	RE-INFORCEMENT OF THE FRENCH CHINA SQUADRON.
page 3	THE FIGHTING IN LOMBOK.
page 3	CANTON NOTES.
page 3	THE CHINA-JAPAN WAR.
page 3	THE DEFENCE OF TEEING.
page 3	ARMS FROM THE SOUTH.
page 3	REFORTED LANDING OF JAPANESE.
page 3	THANES TO MAJOR VON HANNEKEN.
page 3	A BAREFACED LIS.
page 3	NEUTRALITY IN HONGKONG.
page 3	THE WARNING TO BRITISH SOLDIERS.
page 3	JELEBU MINING AND TRADING CO.
page 3	TRUTH ON HONGKONG MILITARY MATTERS.
page 3	AN AMERICAN FEMALE JOURNALIST ON IRRIGATION.
page 3	NEWS BY THE AUSTRALIAN MAIL.
page 3	EXCITEMENT AT COOLGARDIE - BEPORTS OF A NEW RUSH.
page 3	BRITISH TRADE.
page 3	THE FINANCES OF CANADA.
page 3	AUSTRALIAN BANES.
page 3	THE SPANISE PRETENDER TO THE FEENCH THRONE.
page 3	THE PACIFIC-ATLANTIC SERVICE.
page 3	RAILWAY COLLISION IN FRANCE.
page 3	THE CAIRO SCANDAL - ANTI-ENGLISH FEELING.
page 3	BRITISH POLITLCS.
page 3	THE IRISH NATIONALISTS IN AMERICA.
page 3	THE PEACE OF EUROPE.
page 3	THE POONA POLO TOURNAMENT.
page 3	THE PROPOSED INQUIRY INTO THE.
page 3	BRITISH OFFICERS OF NATIVE INFANTRY.
page 3	THE RACIAL DISTURBANCES AT POONA.
page 3	THE AMIR.
page 3	A LADY VISITOR TOI KABUL.
page 3	THE 'FALLS OF ETTRICE.'
