page 2	A FEELING of exasperation is spreading in the Colony at the unparalleled bungling that is going on in connection with the clearing of the streets. Whether it is owing to the want of a plan of work.
page 3	TELEGRAMS.
page 3	THE OAKS.
page 3	BOYCOTTING THE PARIS EXHIBITION.
page 3	THE VICEROY OF IRELAND.
page 3	BIMETALLISM.
page 3	THE LABUK PLANTING CO., LIMITED.
page 3	MR FRANCIS AND THE OFFICIALS.
page 3	NEWS BY THE ENGLISH MAIL.
page 3	A SHORT OPIUM CROP-ITS SERIOUS EFFECT ON THE BUDGET.
page 3	THE ARRAIGNNENT OF BOOLANGEE.
page 3	THE SHH AT ST. PETEBSEURG.
page 3	THE STBIKES IN GBRMANY AND AUSTRIA.
page 3	THE BIRTRDAY GAZETTS.
page 3	STRANGE SOENE THE PRINCE AND PRINCESS OF WALES MOBBED.
page 3	ITALY, GERMANY AND FRANCE.
page 3	SHIPPING NEWS.
page 3	ANOTHER MAN-OF-WAR AGROUND.
page 3	LAST WORDS.
