page 2	IT is only fair to the sanitary Board to say that the concluding statement in a paragraph we published last night about the introduction of road-sweeping machines appears to be a little overdrawn. At any rate it is only in some of the thorough fares of the native quarters that refuse is all to lie about on the sides of the roadways.
page 3	THE ASSAULT AT THE TEMPERANCE HALL.
page 3	LARCENY EROM THE HONGKONG CLUL.
page 3	NEWS BY THE FRENCH MAIL.
page 3	TELEGRAMS.
page 3	SUBMISSION OF TURKOMANS TO RUSSIA.
page 3	MILITARY MOVEMENTS IN EUYPT.
page 3	THE RUSSIAN OCCUPATION OF MERV.
page 3	NAVAL EXPEDITION TO ASSOUAN.
page 3	INCRFASE OF FRENCH FORCES IN MADAGASCAR.
page 3	THE SOUDAN EXPEDITION.
page 3	BANK SHARES.
page 3	THE SOUDAN EXPEDITION.
page 3	HONOURS FOR THE SOUDAN HEROES.
page 3	THE HUSSIAN ADVACE IN ASIA.
page 3	THE DUAL CONTROL IN EGYIT.
page 3	MORE HONORS TO EGYTLAN-HEROES.
page 3	THE NEW ORIENTAL BANK.
page 3	A QUININE FACTORY AT OOTACAMUND.
page 3	THE MAHDI.
page 3	THE SOUDAN EXPEDITION.
page 3	BIRTHPAY RDNORN.
page 3	THE SOUDAN CAMPAIGN.
page 3	EGYPTIAN AFFAIES.
page 3	NUBAR PASHA'S DEMANDS.
page 3	THE NILE RISING.
page 3	PARLIAMENT ADDJOURNED.
page 3	GENERAL GORDON AND ZEBEHR.
page 3	THE KHEDIVE AND RAKER PANILA.
page 3	A NEW MAHDI.
page 3	A NEW HING FOR THE ZULUS.
page 3	GERMANY OCOUPYING ANGRA EQUENA.
