page 2	LIKE every other great enterprise the Canadian Pacific Railway Company has its critics and detractors. Honest criticism its promoters and Board of Management have no need to fear; adversity.
page 3	TESTIMONIAL TO MR GRACE.
page 3	THE RUSSO CHINESE LOAN.
page 3	RUSSIA AND JAPAN.
page 3	THE GRAND PRIX.
page 3	THE CRISIS IN FORMOSA.
page 3	FIGHTING NEAR KELUNG.
page 3	REWARDS FOR JAPANESE HEADS.
page 3	THE POLICY OF SCUTTLE.
page 3	AN ADMIRAL HEADS THE FLIGHT.
page 3	CANTONESE REINFORCEMENTS FOR FORMOSA.
page 3	BILLY WATERS NOT A FILIBUSTERER.
page 3	FACTS AND GOSSIP FROM FORMOSA.
page 3	THE ATTACK UPON THE ARTHUR.
page 3	PANIC ON ROARD.
page 3	NARROW ESCAPE OF THE CHIEF ENGINEER.
page 3	THE OUTRAGE AT CHENGTU.
page 3	TIENTSIN.
page 3	THE CUSTOMS TAOTAISHIP.
page 3	PEACE AND MORE TROOPS.
page 3	MORE BUNDERS.
page 3	SHENG TAOTAI.
page 3	OFFICIAL NEWS.
