page 4	AMERICA AND THE SUBMARINE MENACE.
page 5	THE GREAT ITALIAN VICTORY.
page 5	CAPTURE OF AN EXTRAORDINARILY STRONG POSITION.
page 5	THE WESTERN FRONT.
page 5	SUCCESSFUL BRITISH AIR RAIDS.
page 5	THE FRENCH FRONT.
page 5	THE BALKAN ZONE.
page 5	FURTHER RUSSIAN CONTINGENTS LAND AT SALONIKA.
page 5	BRITISH MOTOR BRIGADE AT WORK.
page 5	THE RUSSIAN FRONT.
page 5	CHOLERA-INFECTED SWEETS AS AN ENEMY WEAPON.
page 5	A MAD KING DEAD.
page 5	A BYE-ELECTION IN SCOTLAND.
page 5	FOREIGN MISSIONARIES IN JAPAN.
page 5	SUBMARINE WARFARE.
page 5	UNIED STATES POLICY.
page 5	BRITISH EXCHANGE OF PRISONERS WITH TURKEY.
page 5	THE BRITISH REGISTRATION BILL.
page 5	GREEK NAVY TRANSFERRED TO ALLIES.
page 5	RESULT OF AN ULTIMATUM.
page 5	MR ASQUITH REVEIEWS THE WAR SITUATION.
page 5	THE NEW VOTE OF CREDIT.
page 5	NOT A TIME FOR FAINT HEARTS AND WAVERNG COUNSELS.
page 5	THE TALK OF PEACE.
page 5	BRITAIN'S DETERMINED ATTITUDE.
page 5	GREEH PROYISIONAL WAR MINISTER.
page 5	THE WESTERN FRONT.
page 5	ENEMY ATTACKS REPELLED ON BRITISH FRONT.
page 5	STRONG GERMAN ATTACK ON FRENCH FRONT.
page 5	FRENCH CAPTURE 1,700 PRISONERS.
page 5	THE HEAVY GERMAN LOSSES.
page 5	GERMAN CASUALTY LISTS.
page 5	BRILLIANT ITALIAN SUCCESSES.
page 5	NEARLY 6,000 PRISONERS TAKEN.
page 5	NORWAY'S SHIPPING LOSSES.
page 5	AUSTRIAN ADYANCE AGANST RUMANIANS STOPPED.
page 5	THE MACEDONIAN CAMPAIGN.
page 5	ALLIED CAPTURES.
page 5	THE NEW SUBMARINE ISSUE.
page 5	AMERICA'S REPLY TO THE ALLIED NOTE.
page 5	AMERICA INVESTIGATING SURMARINE ATTACKS.
page 5	AMERICAN PRESS COMMENT.
page 5	SUBMARINE TRANSPORTS IN THE ATLANTIC.
page 5	GERMANY INDEMNIFIES NORWEGIAN OWNERS.
page 5	A DISCREDITED NEWS SERVICE.
page 5	BIGADIER KILLED.
page 5	BRITISH SHIPBUILDING.
