page 2	THE Colony is slowly progressing; that is the most important fact in the Acting Governor's message to the Legislative Council. That there should be progress at all, in spite of the mistakes made and the many.
page 3	HONGKONG ATRILLERY VOLUNTEERS.
page 3	THE SECRET SOCIETIES IN THE STRAITS.
page 3	LORD WOLSELEY ON MOLTKE AS A STRATEGIST.
page 3	PROPOSED RESIGNATION OF MR CHILDERS.
page 3	THE MANCHESTER SHIP CANAL.
page 3	MR MAPLE'S HORSE 'COMMON.'
page 3	CEREMONIAL AT ST. PETER'S ROME.
page 3	THE REPORTED BETROTHAL OF THE KING OF SERVIA.
page 3	THE NEW RUSSIAN LOAN.
page 3	BIMETALLISM IN AMERICA.
page 3	CAPTAIN YOUNGHUSBAND.
page 3	THE AMIR TO VISIT ENGLAND.
