page 2	WERE we able to devote sufficient time to a close inspection of all the documents bearing upon the initiation and development of the City Hall scheme, and had we the official documents at our.
page 3	LEGISLATIVE COUNCIL.
page 3	THE APPROPRIATION BILL 1880-81.
page 3	THE DISTHLIRY.
page 3	THE FIRE TANKS AND THE WATER SUPPLY.
page 3	THE GOVERNMENT GARDENS.
page 3	THE LATE A. LEIGH, AMOY.
page 3	Police Intelligence.
page 3	THE SPLIT AMONGOT THE GUILD.
page 3	TRUANT SERVANT.
page 3	SUSPECTED LARCENY.
page 3	STEALING WOOD.
page 3	OPIUM CASES.
page 3	BEGGING.
page 3	STEALING A BOAT.
page 3	OPIUM CACE.
page 3	UNLAWFUL ENTERING.
page 3	STEALING METAL.
page 3	China.
page 3	AMOY.
page 3	Japan.
page 3	YOKOAMA.
page 3	NOTES FROM SZE-CHUAN.
