page 2	AT the Magistracy to-day, a Chiasnian charged with the larcony of a number of bags of augar from the Taikoo Sugar Refinery was sentenced to three months' imprisonment.
page 3	THE POSITION OF AFFAIRS IN MANILA.
page 3	THE SECURITY OF THE BRITISH ENSIGN.
page 3	A BUSY TIME AT THE BANKS.
page 3	COMMUNICATION WITH THE PHILIPPINES.
page 3	RESCUING THE FRIARS.
page 3	EXEMPTION FROM MILITARY SERVICE.
page 3	NEWS FROM AMERICA.
page 3	HAWAIL AS A STRATEGIC POINT OF IMPORTANCE.
page 3	PREPARATIONS AT KEY WEST.
page 3	PENSIONS FOR ARMY AND NAVY.
page 3	THE SPANISH TORPEDO FLOTILLA.
page 3	CAPDETS FROM THE 'BALTIMORE.'
page 3	PREPARATIONS AT LEAGUE ISLAND.
page 3	RAILWAYS IN CHIAN.
page 3	BRITISH TENDERS ACCEPTED.
page 3	THE SPANISH AMERICAN WAR.
page 3	RESULT OF THE TWO THOUSAND GUINEAS.
page 3	CAPTURE OF THE BUENAVENTURA.
page 3	PREPARATIONS FOR DEFENCE.
page 3	AFFAIRS AT HAVANA.
page 3	'NURSE FRANCES.'
page 3	THE REPORTED NEW GERMAN PORT.
page 3	THE OVERDUE STEAMER PELICAN.
page 3	LIFEBOAT SIGHTED NEAR ALEUTIAN ISLANDS.
