page 2	A SHORT time ago we published a sort of circular from the Manager of the Mitsu Bishi Company originally laid before the public in the columns of a native newspaper at Yokohama.  This document was a most surprising.
page 3	CONFISCATION OF A JUNK AND CARGO.
page 3	REFUSING TO GO ON BOARD.
page 3	FATAL CASE OF STABBING.
page 3	CORONER'S INQUEST.
page 3	Police Intelligence.
page 3	LARCENY.
page 3	SUSPICIOUS.
page 3	DRUNKENNESS.
page 3	UNLAWFUL POSSESSION OF STAMPS.
page 3	SUGAR GROWING NEAR PENANG.
page 3	LONDON GOSSIP.
