page 2	In the month of November Inst, Major General Otis cabled to Washington that the insurrection in the Philippines had ben crushed. That being so, it is a fair question to ask what the United States.
page 3	GENERAL BULLER'S COLUMN.
page 3	DIFFICULTIES WITH THE ARTILLERY.
page 3	RNUTERS SRRVICE.
page 3	THE WAR --- NATAL.
page 3	THE ATTACK ON LADYSMITH.
page 3	Death of War Correspondents.
page 3	Movements of the Fleet.
page 3	The Command at Modder River.
page 3	The Artists War Fund.
page 3	Peace Proposals.
page 3	Contraband of War.
page 3	European Intervention Feared.
page 3	Guns and Ammunition at Delagoa Bay.
page 3	Public Criticism in England.
page 3	The Colonial Auxiliaries.
page 3	Miscellaneous.
page 3	The Caricatures of the Queen.
page 3	Trouble in India.
page 3	Fatal Fire in New York.
page 3	International Maritime Law.
page 3	Russian Minister for Foreign Affairs.
page 3	Zola and Dreyfus.
page 3	Australian Naval Reserve Scheme.
page 3	Collision in the English Channel.
page 3	Serious Dynamite Explosion.
page 3	Shooting Affray in Kentucky.
page 3	Turbine River Destroyer.
