page 2	THE Japan Gazette of the 29 th ultimo contains the following paragraph:--"We hear from Hongkong that upon the return of Governor Hennessy investigation will be made to set at rest certain persistent.
page 3	Police Intelligence.
page 3	A POOR EXCUSE.
page 3	GAMBLING.
page 3	FIRST OFFENCE.
page 3	DRUNK AND INCAPABLE.
page 3	A YOUNG DISORDERLY.
page 3	STEALING A SODA WATER BOTTLE.
page 3	A POOR THIEF.
page 3	SNATCHING DOLLARS.
page 3	COMMITTED TO THE SESSIONS.
page 3	A CURIOUS CASE.
page 3	THE SWEDISH FXPEDITION.
