page 2	The Plague has again made its appearance in our midst, strenuous as has been the on deavours of the Sanitary authorities to keep it in subjection. The frequent recurrence of the epidemie has produced a.
page 3	DEATH OF SIR NICHOLAS J. HANNEN.
page 3	FRENCH MISSION DESTROYED.
page 3	MISSIONARY WOUNDED.
page 3	THE WAR --- WEPENER.
page 3	OPERATIONS IN THE FREE STATE.
page 3	MAFEFING.
page 3	WEPENER RELIEVED.
page 3	The Boers and Basutos.
page 3	Great Britain Impregnable.
page 3	The Mafeking Relief Force.
