page 2	A FEW days ago we endeavoured to afford our readers an idea of the decisions arrived at by the Congress in regard to Asiatic Turkey.
page 3	REUTER'S TELEGRAMS.
page 3	LOCAL AND GENERAL.
page 3	ANOTHER MURDER.
page 3	LOSS OF TWO ENGLISH SHIPS.
page 3	THE TUNG WAH HOSPITAL.
page 3	Marine Court.
page 3	ASSAULT.
page 3	REPUSAL OF DUTY.
page 3	Police Intelligence.
page 3	YOUNG HOPEFUL.
page 3	ALL ABOUT MONEY.
page 3	STEALING LEAD.
page 3	DRUNKENNESS.
page 3	WILFUL AND MUBDER.
page 3	A LUNATIC.
page 3	ALLEGED LAECENY.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	ARRIVAL OF THE ENGLISH MAIL.
