page 2	Last year Madame Sarah Bernhardt underwont a serious operation for an internal malsdy. She had experienced sharp pangs when having to fall flat on her face in a performance.
page 4	The War-British Losses.
page 4	The Straits Governorship.
page 4	Seizure of Counterfoit Coin.
page 4	Dellnquents from the Harbour.
page 4	Attempt to Defrand the D.P.W.
page 4	THE CHINESE IMPERIAL MARITIME CUSTOMS.
page 4	THE NEW IRONTIER STATION AT SHAM CHUEN.
page 4	Admiral Dewey and Aguinaldo.
page 4	'FRAGRANT WATERS' MURMUR.
page 4	FURTHER DETAILS OF CRONJE'S SURRENDER.
page 4	ROBERTS RECEIVES HIM WITH A GUARD OF HONGKONG.
page 4	THE WAR. --- GENERAL BULLER'S ADVANCE.
page 4	THE WAR. --- RELIEF OF LADYSMITH.
page 4	THE ARMY ESTIMATES.
page 4	DEATH OF MARSHAL MACMAHON.
page 4	A NEW FRENCH RIFLE.
