page 4	THE CPERATION UPON GERMAN EMPEROR.
page 5	German Financier Dead.
page 5	The Kaiser.
page 5	Shanghai Dramatic Club.
page 5	The French and Manchuria.
page 5	150,000 Bacteria in Spoonful.
page 5	The Dissolution in Japan.
page 5	The P. and O. Dividend.
page 5	Journalists as Hosts.
page 5	Hills' Worlds Entertainers.
page 5	Found Dead in Bed.
page 5	Russian Jingoism.
page 5	Gamblers Caught.
page 5	Subsidence at Hankow.
page 5	The New Australian Navy.
page 5	Trouble at Madras University.
page 5	Masonic Instailation.
page 5	The Coolie and the $500.
page 5	'IRRESPONSIBLE DICTATOR SHIP.'
page 5	THE 'STAND ARD' ON MR. CHAMBERLAIN.'
page 5	'Defiance of Crown, Cabinet and Legislature.'
page 5	FRANCE AND EDUCATION.
page 5	CONGREGATIONALISTS MUST NOT TEACH.
page 5	THE UNITED STATES AND CUBA.
page 5	COLOMBIA AND PANAMA.
page 5	MARINE INSURANCE TO THE FAR EAST.
page 5	RUSSIA AND JAPAN.
page 5	THE AUSTRALASIAN ELECTIONS.
page 5	THE UNITED STAES AND CHINA.
page 5	RUSSIAN NAVAL RE-INFORCE-MENTS.
page 5	RUSSIA AND JAPAN.
