page 2	THE Superintendent of the P. & O. Co. informs us that the Company's extra steamer Shanghai left London for this port on Thursday, 28th November.
page 3	ANOTHER TYPHOON.
page 3	FRAGRANT WATERS MURMUR.
page 3	CRICKET.
page 3	H. K. C. C. V. UNITED SERVICES.
page 3	SHOOTING MATCH.
page 3	GARRISON V. VOLUNTEERS.
page 3	THE ST. ANDREW'S BALL.
page 3	WREOK OF THE NYL GHAU.
page 3	LATE TELEGRAMS.
page 3	THE GREEK ROYAL WEDDING.
page 4	I TOLD YOU SO.
page 4	IF THEY WERE MEN.
page 4	WHAT FAMOUB WOMEN WOULD AND WOULD NOT DO.
page 4	REGAINING JERUSALEM.
page 4	INFORMATION ABOUT YOURSELF.
