page 2	WHAT is to be done with regard to Kucheng? The question is ringing throughout the length and breadth of Christendom, of the whole civilised world, and there is no answer.
page 3	BRITISH IRONCLADS ARRIVE AT TANGIER.
page 3	THE LIAOTUNG QUESTION.
page 3	THE KUCHENG MASSACRE.
page 3	SUPPOSED ANARCHIST OUTRAGE.
page 3	THE ANTI-MISSIONARY MOVE MENT.
page 3	A USEFUL PROCLAMATION.
page 3	ANOTHER OUTBREAK.
page 3	GREAT INDIGNATION MEETING AT SHANGHAI.
page 3	THE KUCHENG MASSACRE.
page 3	PUBLIC MEETING AT SWATOW.
page 3	THE NAVY LEAGUE.
page 3	ANTI-EUROPEAN FEELING IN MADAGASCAR.
