page 2	A LONDOS telegram, announcing that China had agreeed to French demands states the right has been reserved to Great Britain of railway extension to Kowloon.
page 3	THE SUGGESTED ARMISTICE IN CUBA.
page 3	SOVEREIGNS.
page 3	THE UNITED STATES NAVY READY.
page 3	CONDITIONS OF THE ARMISTICE IN CUBA.
page 3	THE PROTECTION OF AMERICAN SUBJECTS.
page 3	THE CUBAN JUNTA A NEW DEVELOPMENT.
page 3	AN EMPEROR'S SOLITION OF THE TROUBLE.
page 3	SPAIN BOYS THE YACHT 'GERALDA.'
page 3	A LIKELY CIVIL WAR IN SPAIN.
page 3	A GIFT FROM THE ROTHSCITILDS.
page 3	THE FEELING OF THE EUROPEAN PRESS.
page 3	THE SPASISH NATIONAL SUBSORIPTION.
page 3	PUBLIC DECLARATION BY THE SPANISH PREMIER.
page 3	WAR PROSPECTS AND THE RUPEE.
page 3	A BOBIBAY VIEW OF THE OUTLOOK.
page 3	ON THE TRACK OF EMILIO AGUINALDO.
page 3	POLITICAL ESPIONAGE IN SINGAPORE.
page 3	THE BANK NOTE SWINDLE.
page 3	AFFAIRS IN THE FAR EAST.
page 3	RUSSIA WANTS THE CHINESE RAILWAYS.
page 3	JAPAN JEALOUS.
page 3	THE FAR EAST.
page 3	MR. GLADSTONE.
page 3	THE SOUDAN.
page 3	THE CANADIAN TARIFF.
page 3	GEON'S TABERNACLE.
page 3	BICYCLE ACCIDENT.
page 3	BISHOP MYLNE'S SUCCESSOR.
page 3	THE NORTH WEST FRONTIER.
page 3	THE DUM-DUM BULLET.
page 3	ARMY NEWS.
page 3	THE PLAGUE.
page 3	THE RECENT MAIL DACOITY.
page 3	CALCUTTA NEWS.
page 3	IMPERIAL POSTAGE.
page 3	THE POONA MURDERS-SCENE AT THE SCAFFOLD.
page 3	THE INDIAN GOVERNMENT AND A GOLD STANDARD.
page 3	THE PLAGUE.
page 3	TRAGIC DEATH AT BOMBAY.
page 3	BRITAIN'S LATEST DIPLOMATIC LEAD.
page 3	MR. BALFOUR'S STATEMENT.
page 3	THE SPANISH-AMERICAN WAR.
page 3	DEFEAT OF THE SPANIARDS AT MANILA.
page 3	RETURN OF LORD SALISBURY.
page 3	RESULT OF THE AMERICAN VICTORY AT MANILA.
page 3	THE CHINA ASSOCIATION.
page 3	THE CABLE INTERRUPTION.
page 3	A FALSE ALARM.
page 3	EVENTS LEADING UP TO THE WAR.
page 3	THE DONS AND THEIR DIGNITY.
