page 2	IN 1896 the United Kingdom's total export of coal was 44.2 million tons. According to Mr John Williamson our total exports of all kinds of goods were 52.2 million tons. In other words, coal formed 84.7 per cent.
page 3	THE DEFENCE OF FORT GULISTAN, &c.
page 3	THE BANK OF ENGLAND AND SILVER.
page 3	THE DREAD OF THE SUPERNATURAL.
page 3	THE INDIAN FRONTIER.
page 3	ENGINEERS' STRIKE.
page 3	TREATIES.
page 3	SERIOUS CHARGES.
page 3	SEVERE WEATHER.
page 3	FEDERATION.
page 5	INTERNATIONAL COURTESIES.
page 5	STILL KISSING.
page 5	THE OUTRAGES IN CONSTANTINOPLE.
page 5	THE COLONIAL CONFERENCE IN LONDON.
page 5	MASSACRES IN NEW GUINEA.
