page 2	IN the letter by 'Ratepayer', which appeared in our correspondence column yesterday, certain statements are made which amount to a very definite and very serious charge against certain officers of the Government employed in the Public Works Department.
page 3	HEALTH OF EARL KIMBERLEY.
page 3	MORE TROUBLE IN ITALY.
page 3	SAD FATE OF CAPTAIN WILSON'S PARTY.
page 3	GOVERNMENT OFFICIALS AND CHINESE CONTRACTORS.
page 3	THE ALICE MEMORIAL AND NETHERSOLE HOSPITALS.
page 3	THE OUT PATIENT DEPARTMENT.
page 3	VACCINATION.
page 3	DENTAL SURGERY.
page 3	THE IN-PATIENT DEPARTMENT.
page 3	THE EVANGELISTIC WORK.
