page 2	IF the unofficial members of the Legilative Council will philosophically disregard the sneers and sarcaims and the studies contemptuouaness of tone of the lecture delivered to them by the Colonial Secretary at the meeting on Wednesday last, they may be able to regard their experience on that occasion as something of the nautre of a wholesome lession.
page 3	MEETING OF PARLIAMENT.
page 3	THE MONETARY CONFERENCE.
page 3	RESIGNATION OF THE FRENCH MINISTRY.
page 3	TOBACCO PLANTING IN BRITISH NORTH BORNEO.
page 3	RUSSIA AND CHINA.
page 3	THE AMERICAN MAIL.
page 3	CONDITION OF THE U.S. MERCHANT MARINE.
page 3	STORY OF DANIEL BANDMAN'SWIVE.
page 3	EXPOSURE OF A SPIRITUALIST FRAUD.
page 3	A SUBNARINE BOAT.
