page 2	WE observe that our morning contemporary has the temerity to return to the subject of the statement of the Colony's assets and liabilities, with, we are sorry to say, most lamentable results.
page 3	THE PEACE PROPOSALS.
page 3	SUPPOSED LOSS OF A SPANISH CRUISER.
page 3	REPORTED INTENDED MOVEMENTS OF THE JAPANESE IN SOUTH CHINA.
page 3	THE GALLANT DEFENCE OF LEUKUNGTAU.
page 3	SCURVY TREATMENT OF FOREIGNERS.
page 3	CHINESE GOVERNMENT BREAKING FAITH.
page 3	A THANKOFFERING TO THE RED CROSS SOCIETY.
page 3	SEISMOLOGICAL THEORIES.
page 3	ANOTHER ANTI-BRITISH YARN.
page 3	THE FATE OF HOWIE.
page 3	THE MAN HOWIE.
page 3	THE CHINESE GUNNERS AT WEIHAIWEI.
page 3	WAR NEWS FROM AMERICA.
page 3	IN GREAT FERIL. -- OFFICERS OF THE 'CONCORD' ARE KIDNAPPED. -- HELD PRISONERS BY HOSTILE CHINESE -- GRAVE DANGER OF SUMMARY EXECUTION.
page 3	ART TREASURES STOLEN FROM THE LOUVRE.
page 3	INTERNATIONAL ARBITRATION.
page 3	PROCEEDINGS IN PARLIAMENT.
