page 2	THE  late Lord Derby once said that The greatest of British interest is peace ' This was a wise saying and the progress of years has only intensified the natural tendency .
page 3	THE CHENGTU OUTRAGES.
page 3	ARMENIANS IN CONSTAN TINOPLE.
page 3	AN ASHANTEE WAR IMMINENT.
page 3	THE LOSS OF THE SPANISH CRUISER 'SANCHES BARCAIZTEGUD.
page 3	MADRID MINT.
page 3	TRADE BETWEEN AUSTRALIA AND THE EAST.
page 3	ACTION BY SOUTH AUSTRALIA.
page 3	BLILITARY NEWS.
page 3	A LIMERICK ELECTION.
page 3	TROUBLE IN THE CONGO STATE.
page 3	AN ITALIAN ANNIVERSARY CELEBRATION.
page 3	THE TROOPING.
page 3	EXECUTION OF PRIVATE STEWART.
page 3	A PEEP SHOT.
page 3	THE SILVER QUESTION.
page 3	THE DISTURBANCES AT BAHREIN.
page 3	THE RELIEFS.
page 3	BLOCK IN THE CANAL.
page 3	THE STOKES AFFAIR.
page 3	EARLY COLD WEATHER IN INDIA.
page 3	POLO -- ANOTHER FATAL ACCIDENT.
page 3	BANGALORE RIFLE MEETING.
page 3	THE MISSING NOUNTAINSERS.
page 3	THE N. W. FRONTIBR.
page 3	INDIAN FOOTBALL.
page 3	RENEWED FLOODS IN INDIA.
