page 2	THERE is something unsatisfactory about the manner in which the Government have dealt with the question raised by the Hon. A. P. MacEwen, concerning infantile mortality in the Convents.
page 3	THE SUEZ CANAL.
page 3	PORT HAMILTON.
page 4	THE COLONIAL AND INDIAN EXIHBITION.
page 4	THE IMPERIAL JUBILEE INSTITUTE.
page 4	THE ADELAIDE JUBILEE EXHLBITION.
page 4	IMPERIAL FEDERATION.
page 4	BARON MACLAY'S COLONISATION SCHEME.
page 4	THE ADMINISTRATION OF NEW GUINRA.
page 4	FRANCE AND THE NEW REBRIDES.
page 4	AFFAIRS ON THE NEW GUINEA COAST.
