page 2	AN ample supply of Water and Education are absolute necessaries in a civilised community. We have spoken of the first, and may now say a word upon the second requisite.
page 3	MONTENEGRO DETERMINED TO ATTACK THE ALBANIANS.
page 3	THE LIBERALS AND CYPRUS:THE ISLAND TO BE HANDED OVER TO THE COLONIAL OFFICE.
page 3	DEATH OF THE EMPRESS OF RUSSIA.
page 3	GORDON PASHA RESIGNS THE VICEROY'S PRIVATE SECRETARYSHIP.
page 3	BREACHES OF THE OPIUM ORDINANCE.
page 3	UNLAWFUL POSSESSION.
page 3	SNATCHING EAR-RINGS.
page 3	EMBEZZLEMENT.
page 3	A ROW IN THE GAOL.
page 3	THE KOREAN QUESTION.
page 4	A HOLIDAY IN BOSOBOSO.
