page 2	THERE will be but one opinion among those who are interested in the Po Leung Kuk with regard to the course which His Excellency the Governor has adopted re the Ordinance which is intended to put that Society on a satisfactory basis.
page 3	INTERNATIONAL MONETARY CONFERENCE.
page 3	THE PRIVATE STEAM-LAUNCH OWNERS AND THE MERCHANT SBIPPING ORDINANCE.
page 3	NOTES FROM NATIVE PAPERS.
page 3	NEWS BY THE AUSTRALIAN MAIL.
page 3	THE FRENCH FORCED IS THE SOUDAN.
page 3	FRANCE GRANTS.
page 3	INFLUENZA AMONG NORSES.
page 3	THE GTERMAN EXPEDITION IN AFRICA.
page 3	RUSSIA AND GERMANY.
page 3	THE DEFENCES OF MALTA.
page 3	A SUICIDE CLOD.
