page 2	A GREAT revolution in the water supply of the Colony is propoced. In a short time, when the distributory system is completed, a supply of good water will be close to or within every tenement in Hongkong.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	BROWNIE.
page 3	THE EWO STREET ARSON CASE.
page 3	HONGKONG SKY MEETING.
page 3	COLLISION BETWEEN THE MINZA PORE AND TOKIO MARU.
page 3	THE PERING GAZETTE AND ITS EDITORS.
page 3	LATE TELEGRAMS.
page 3	AUSTRIAN WAR GRANT.
page 3	THE NEWFOUNDLAND FISHERIES.
page 3	THE EASTER MONDAY MANCECVRES.
page 3	THE INDIAN COMMAND.
page 3	THE LIDOUR CONFEHENCE.
page 3	THE TRIPLE ALLIANCE.
page 3	THRRHIBLE UYCLONE IN AMERICA.
page 4	FENIANS AT TEL-EL-KEBIR.
