page 2	WHILE the police campaign against ownerless dogs is no doubt looked upon by most people in the colony as a wise and necessary proceeding.
page 3	AFFAIRS IN EGYPT.
page 3	THE PUBLIC ADDRESS TO THE UNOFFICIAL MEMBERS.
page 3	TRAINING NOTES.
page 3	THE DANGERS OF KISSING THE BOOK.
page 3	NEWS BY THE ENGLISH MAIL.
page 3	CONGERSS AND THE SLLVER CUERSTION.
page 3	A CONTRADICTION.
page 3	THE RAPID PACIPFICATIONOF BURMAH.
page 3	THE KOREANS.
page 4	A NEW TOTALISATOR MACHINE.
page 4	MY FIRST BOUT WITH THE GLOVES.
page 4	A SCOTCHMAN'S PHILOSOPHY.
page 4	IT FEARS NEITHER ARMY NOR NAVY.
