page 2	IT is a commonly accepted maxim that to abose the other side' is a sure sign of a weak case. The proclamation issued by Captain-General Augustin, which we reproduce from El Comercia.
page 3	WUCHOW NOTES.
page 3	A SPANISH GOVERNORGENERAL ON THE AMERICAN PEOPLE.
page 3	AN INSULTING PROCLAMATION.
page 3	THE GOVERNOR'S FIRST PROCLAMATION.
page 3	A BOMBASTIC PROCLAMATION.
page 3	THE LOYAL VOLUNTEERS.
page 3	THE SPANISH SHIPS IN WAR PAINT.
page 3	THE AMERICAN PRIZES.
page 3	WHERE IS EMILIO AGUINALDO.
page 3	THE PHILIPPINE LIGHTHOUSES.
page 3	DEMONSTRATIONS IN SPAIN AGAINST THE UNITED STATES.
page 3	THE OPINION OF AN EXPERIENCED CAMPAIGNER.
page 3	THE FLIGHT SHOM MANILA.
page 3	THE SITUATION IN THE PHILIPPINES.
page 3	PUGNACITY OF THE REBELS.
page 3	THE RISING AT CEBU.
page 3	LETTER FROM A REBEL LEADER.
page 3	DARK DEEDS.
