page 2	THE official announcement is made of the election of M. Jean Casimir-Peries as president of the French Republic in succession to the late M. Carnot. His recent defeat defeat in the Chamer.
page 3	THE FRENCH PRESIDENTIAL ELECTION.
page 3	THE BUDGET.
page 3	ANARCHISM.
page 3	THE WEATHER REPORT.
page 3	THE INDIAN FORCE IN CENTRAL AFRICA.
page 3	COUNTY CRICRET.
page 3	TUREEY AND THE CONGO TEEATY.
page 3	THE FREIGHT WAR.
page 3	THE EXPORT OF GOLD FROM INDIA.
page 3	PRECAUTION AGAINST RIOTING.
