page 2	WE have to apologise to the Hon. G. T. M. O'Brien for having knocked a good deal of the interest and dramatic effect out of the answers which he gave yesterday to the questions on the Alves business.
page 3	NEWS BY THE FRENCH MAIL.
page 3	CHOLERA AT MARSEILLES.
page 3	THE FRENCH POLITICAL CRISIS.
page 3	A PORTUGUESE JUDGE BLOWS HIS BRAINS OUT.
page 3	DIMINUTION OF THE AMERICAN GOLD RESERVE.
page 3	THE ANTI-OPIUM LEAGUE.
page 3	THE 'TIMES' GUILTY OF A BREACH OF PRIVILEGE.
page 3	THE FLOODS IN AUSTRALIA.
page 3	AMERICA AND AUSTRALIA CALLED ON TO HELP IRELAND.
page 3	ARMY MULE CARTE.
page 3	THE NEW REGISTRATION ACT.
page 3	THE ITALIAN BANK SCANDALS.
page 3	CHURCH AND STATE IN INDIA.
page 3	GROSS OUTRAGE ON AN OFFICER'S WIFE.
page 3	FREE PASSAGES FOR THE WIVES OF NATIVE SOLDIERS.
page 3	VERNACULAR JOURNALISM.
page 3	ANOTHER EXAMINATION FRAUD.
page 3	EGYPTIAN AFFAIRS.
page 3	SEVERE WEATHER IN INDIA.
page 3	THE BOMBAY MILLS.
