page 3	JAPANESE ULTIMATUM.
page 5	THE PROGRESS OF THE WAR.
page 5	RHEIMS CATHEDRA.
page 5	REGENTILY DESTROYED BY THE GERMANS.
page 5	BELGIANS RE-OCCUPY ALOST.
page 5	MONS REPORTED ON FIRE.
page 5	THE BATTLE OF HE AISNE.
page 5	FROM THE FRFENCH GOVERNMETN VIA PEKING.
page 5	THE GERMAN EXCUSE FOR THE DESTRUCTION OF RHEIMS CATHEDRAL.
page 5	KWANGTUNG PATROL GUARDS.
page 5	REFUSED DUTY.
page 5	TO SETTLE CHINO JAPANESE DISPUTES.
page 5	INGREASING THE INTERIOR LOAN.
page 5	INSPECT SHANTUNG TROOPS.
page 5	A NEW GOVERNOR.
page 5	WAR NEWS FROM HOME.
page 5	COLONEL SEELY ON SERYICE.
page 5	ROYAL LADIES AT WORK.
page 5	STANDARD CAPTURED.
page 5	TOMMY ATKIN'S SMOKES.
page 5	NATIONAL RELIEF FUND.NATIONAL RELIEF FUND.
page 5	CAPTORED GERMAN FLAG.
page 5	BELGIANS' SMAHT WORK WITH MACHINE GUN.
page 5	FIRST CASUALTY AT SINGTAU.
page 5	.
