page 2	GENTLEMENT wishing to play in the Cricket Match Scotland v. The World, on 26th, 27th and 28th, will kindly sign their names on the list lying on the table in the Club ante-room or on the one in the Cricket Pavilion on or before Saturday, the 21st inst., at 4 p.m.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	FORGING WAGES TICKET.
page 3	THE ROBBERY OF $8,000.
page 3	REGATTA WRINKLES.
page 3	THE INTERNATIONAL RACE.
page 3	THE FIRST DAY'S EVENTS.
page 3	CHINA'S REVENUE.
page 3	LATE TELEGRAMS.
page 3	MOUSSA BEY'S TRIAL.
page 3	THE LATEST NEWS FROM STANLEY.
page 3	THE REVOLUTION IN BRAZIL.
page 3	PEACE PROSPECTS.
page 3	AN OLD ORACLE.
page 3	ANOTHER ROYAL MATCH.
page 3	STANLEY.
page 3	THE SOUDAN.
page 3	A FEARFUL DISASTER.
page 3	MAHDIST RISING.
page 3	ANOTHER ALRGE FIRE.
page 3	DEATH OF GENERAL WILLIS.
page 3	COLONEL HEYLAND.
page 3	EMIN AND THE MAHDL.
page 3	THE ARRAN MURDER.
page 3	THE EX MPEROR OF BRAZIL.
page 3	PORTUGAL'S REPLY TO LORD SALISBURY.
page 3	THE RECENT ANTWERP EXPLOSON.
page 3	MR INVERABITY LION HUSTING.
page 3	NEWS FROM AMERICAN PAPERS.
page 3	A FAIR NIRILIST.-A SCANDAL AT THE RUSSIAN COURT.
page 3	A CRAZY COUNTEE-THE STRANGE STORY OF HER CAREER.
page 3	ABOLITION OF BANISHMENT TO SIBERIA.
page 3	THE FRENCH POLICY.
