page 2	FOURTEEN years ago, General Mesny predicted that should the French, in their desire to keep the trade in their own hands, resort to a protective tariff in Tonkin, the bulk of the trade of Yunnan that found an outlet.
page 3	REUTER'S TELEGRAMS.
page 3	THE CHINESE LOAN.
page 3	THE FRENCH AND HAINAN.
page 3	CRUSHING A REBELLION.
page 3	THE BROUGH COMEDY COMPANY.
page 3	'THE SECOND MAS TANQUERAY.'
page 3	THE SANITARY BOARD.
page 3	MINUTES.
page 3	FOOT AND MOUTH DISEASE.
page 3	CATTLE SHEDS.
page 3	DISPOSAL OF CITY REFUSE.
page 3	CONVEYANCE OF CASES OF INFECTIOUS.
page 3	DISEASE FROM KOWLOON.
page 3	SALE OF POISON.
page 3	RAILWAYS IN CHINA.
page 3	BRITISH ARMY BEFORMS.
page 3	SEVERE SNOWSTORMS IN ENGLAND AND CANADA.
page 3	SCARCITY OF FOOD IN SPAIN.
page 3	A BOHEMIAN KINGDOM.
page 3	THE UNITED STATES NAVY.
page 3	SPAIN AND THE UNITED STATES.
page 3	A SUTRERLAND HIGHLANDER SENTENCED TO DEATH.
page 3	THE INDIAN CORRENCY QUESTION.
page 3	MILITARY SECRETARY.
page 3	THE PLAGUE IN INDIA.
