page 2	WE are still without information in regard to Lang-son which is both definite and reliable, Rumours continue to arrive, and amongst the latest pumours is one which has ocme to uw through the Chinese.
page 3	A Chinese Account of the French Reverses.
page 3	SUPPOSED FOUNDERING OF THE E. E. A. & CHINA TEL. CO'S S.S. 'MAGNETA.'
page 3	THE FRENCH FLEET.
page 3	PEACE NEGOTIATIONS BETWEEN CHINA AND JAPAN.
page 3	THE DEATH OF SIR HARRY PARKES.
page 3	THE SHANGHAI VOLUNTEERS.
page 3	APPALLING ACCIDENT ON THE SHANGHAI RIVER.
page 4	NOTES FROM THE METROPLIS.
page 4	AFFAIRS IN RUSSIA.
page 4	A CELESTIAL EXODUS.
