page 2	The meeting in the Mansion House on Tuesday in support of the extension of Chinese mission work, particularly as affecting medical missions and the distribution.
page 4	PRINCE KUNI HONOURED.
page 4	THE TURKISH REVOLT.
page 4	MURDER OF MINISTER CONFIRMED.
page 4	Disturbances Quieting Down.
page 4	KING EDWARE LEAVES BIARRITZ.
page 4	MASSACRE OF ARMENIANS.
page 4	APPEALS FOR HELP.
page 5	AMERICA AND CHINA DRAWING CLOSER.
page 5	LEGATION TO BE RAISED TO EMBASSY.
page 5	THE CANTON-MACAO RAILWAY.
page 5	H.E. SIK LIANG.
page 5	PROBABLE CHINESE APPOINTMENT.
