page 2	A DESTRUCTIVE fire occurred at Hanoi a fortnight ago, by which 208 houses and 4 pagodas were burned. A few Europeans were among the losers. The damage is estimated at over $20,000.
page 3	DIED LIKE A MAN.
page 3	THE POPE'S ANNIVERSARY.
page 3	EMPEROR WILLIAM - HE ANNOUNCES HIS INTENTION OF VISITING PARIS.
page 3	PROTECTION IN ECUADOR.
page 3	A BRITISH COLONY READY TO REVOLT.
page 3	GENERAL BOULANGER.
page 3	TROUBLE IN PERU.
page 3	FIGHTING IN MADAGASCAR.
page 3	DEMAND FOR FOOD OR WORK.
page 3	SPAIN WANTS PROTECTION.
page 3	THE DANGER OF ICE SKATING.
page 3	THE CAUSE OF A FALSE REPORT.
page 3	GABRIELLE WAS ALWAYS BAD.
page 3	THE FRENCH TARIFF BILL.
page 3	THE RAILWAY STRIKE.
page 3	A PAPAL ENCYCLICAL.
page 3	GERMAN RAILROADS - RECEIPTS CONTINUE TO STEADILY DECREASE.
page 3	THE FATHERLAND - GERMAN SOCIALISTS - BISMARCK OPPOSING THE GOVERNMENT.
page 3	THE SALVATION ARMY LOSES A LEADER.
page 3	KOCH AND HIS CURE.
page 3	CAPTAIN O'SHEA ISSUES A STATEMENT.
