page 2	THE Sanitary Board spent an hour and a half yesterday discussing the question of the reporting of infectious diseases, which they tried to wrestle with last week; and they had again to confess that they could not arrive at a satisfactory conclusion.
page 3	THE FORTHCOMING REGATTA.
page 3	THE REBELLION IN FORMOSA.
page 3	THE PROPOSED TOWN BAND.
page 3	OVERCROWDING.
page 3	NWES BY THE AUSTRALIAN MAIL.
page 3	ENGLISH AND FOREIGN.
page 3	AUSTRALIA AND IRELAND.
page 3	LICENSED ELASTICITY FOR THE CHCRCH OF ENGLAND.
page 3	THE GOVERNORSHIP OF SOUTH AUSTRALIA.
page 3	GOLD SAVING PROCESS.
page 3	BRITISH OFFICERS FOR VICTORIA.
page 3	EXPECTED BOULANGIST VICTORIES.
page 3	A BIOGRAPHY OF EMPEROR FREDERICK.
page 3	THE SIBERIAN EXPEDITION.
page 3	BLOODHOUNDS NO USE.
page 3	MR. GLADSTONE'S LETTERS.
page 3	MR. FARNELL ON THE TRACK.
page 3	ANOTHER ACTION AGAINST ' THE TIMES.'
page 3	A HANDSOME GIFT.
page 3	MUSIC IN AUSTRALIA.
page 3	INPERIAL FEDERATION.
page 3	CARDINAL MORAN AND IRELAND.
page 3	HARCOURT A LOCAL OPTIONIST.
page 3	EMPEROR WILLIAM AND THE POPE.
page 3	SPAIN AND THE PACIFIC ISLANDS.
page 3	THE UNITED STATES AND THE CHINESE.
page 3	A BARONY LAPSED.
page 3	THE SUGAR CONFERENCE AND THE COLONIES.
page 3	CANAL BETWEEN ATLANTIC AND PACIFIC.
page 3	THE IMPORTANCE OF OUR COLONIAL POLICY.
page 3	A NEW CABLE TO AUSTRALIA.
page 3	GREAT FIRE IN GLASGOW.
page 3	FERRY ON FLOQUET'S POLICY.
page 3	THE CANADIAN PACIFIC AND AUSTRALIAN MAILS.
page 3	THE AUSTRALIAN SHIPPING RING.
page 3	INCREASE OF THE BRITISH NAVY.
page 3	REDUCTION OF POSTAGE TO AUSTRALIA.
page 3	RELIGIOUS JEALOUSY.
page 3	THE OUTCOME OF COERCION.
page 3	EMPEROR WILLIAM AT ROME.
page 3	THE TERRIBLE RAILWAY ACCIDENT IN PENNSYLVANIA.
page 3	INCREASE OF THE GERMAN NAVY.
page 3	NOT AFRAID OF HOME RULE.
page 3	THE ARGENTINE REPUBLIC AND THE FROZEN MEAT TRADE.
page 3	THE PACIFIC CABLE.
page 3	THE 'TIMES' RETURNING TO THE CHARGE.
page 3	THE CZAR AND THE SHAH.
page 3	SIR MORELL MACKENZIE AND THE GERMAN DOCTORS.
page 3	THE GREAT STRIKES IN ENGLAND.
page 3	THE SAVAGE ISLANDS.
page 3	GERMANY AND ZANZIBAR.
page 3	MISCELLANEOUS.
page 3	AUSTRALIAN NEWS.
page 3	THE CHINESE IN AUSTRALIA.
page 3	THE STRIKE AT NEWCASTLE.
page 3	THE N. S. W. PREMIER ON FREE TRADE AND IMPERIAL FEDERATION.
page 3	THE GOVERNOR OF QUEENSLAND.
