page 2	WHAT to do with the unemployed, or how to find something for them to do, is becoming a very grave question indeed.  Every mail from Europe brings us news of the increasing misery.
page 3	MILITARY HONOURS TO THE EMPEROR OF GERMANY.
page 3	PRECAUTIONS AGAINST ADULTERATION.
page 3	CREAT BRITAIN AND EGFFT.
page 3	SERIOUS RIOTS IN CAROLINA.
page 3	THE SAMOAN QUESTION.
page 3	THE ANARCHISTS.
page 3	THS LATE LOUIS KOSSUTH.
page 3	AMERICA AND HAWAIL.
page 3	THE FROZEN MEAT TRADR.
page 3	THE LADOUR QUESTION.
page 3	THE WRECK OF THE 'ERAESAGR.'
page 3	THE GIVIL WAR IN DBASIL.
page 3	LINCH LAN IN TIAS.
page 3	THE STTUATION IN SURONG.
page 3	GOLD DISCOVERISS IN MATASSLELAND.
page 3	NEW LEALAND LOAD AND MHECANTILD AGENCY COMPANY.
page 3	A DUCHESS ROBRED OF HER JEWELS.
page 3	THE PEACE OF EUROFL.
page 3	THE NAVY ESTIMATES.
page 3	MISCELLANEOOS.
