page 2	ON Saturday, the Field Battery of the Hongkong Volunteer Corps held their annual competition at the South Shore Battery, Stonecutter's Island, with 64-lb R.M.L. guns. There was a large muster.
page 3	THE APPROACHING NAVY ESTIMATES.
page 3	GREAT BRITAIN AND CHINA.
page 3	MR. CHAMBERLAIN ON THE EUROPEAN CONCERT.
page 3	THE DREYFUS AFFAIR-TRIAL OF ZOLA.
page 3	INDIAN CURRENCY.
page 3	GREAT BRITAIN, RUSSIA AND CHINA.
page 3	THE NORTH BORNEO TROUBLES.
page 3	H. M. S. 'PLOVER' SENDS AN EXPEDITION INTO THE JUNGLE.
page 3	SIR R. HAVELOCK ALLAN ON THE TIRAH CAMPAIGN.
page 3	OFFER OF 1,000 MALTESE FOR GENERAL MILITARY SERVICE.
page 3	STRENGTHENING THE FOOT GUARDS.
page 3	SIR GEORGE WHITE AND GENERAL LOCKHART.
page 3	THE ATTEMPTED INSUERANCE FRAUD IN CALCUTTA.
page 3	TAKING EFFECTIVE POSSESSION OF THE NIGER TERRITORIES.
page 3	FATAL DISASTER AT AN ELECTION MEETING IN CANADA.
page 3	THE PROPOSED NEW LOAN FOR CHINA.
page 3	THE PLAGUE IN INDIA.-DEATH OF A SURGPEAN DOCTOR.
page 3	THE SOUDAN CAMPAIGN.
page 5	THE DEATH OF SIR H. HAVELOCK ALLAN.
page 5	FIGHTING ON THE INDIAN FRONTIER.
page 5	ECROFEAN OFFICERS KILLED AND WOUNDED.
page 5	A HEAVY LIST OF CASUALTIES.
page 5	EVERYTHING BRGUGHT IN.
page 5	REPORTS FROM GENERAL HAMMOND.
page 5	MAJOR HICKMAN KILLED.
page 5	GREAT EASTEN AND CALEDONIAN GOLD MINING CO., LIMITED.
page 5	THE NO-BALLING OF JONES.
page 5	SEWERAGE ACCIDENT NEAR MELBOURNE.
page 5	WEST AFRICA.
