page 2	BRITISH PRESS  ON THE REVOLUTION.
page 6	PHRENOLOGY AND HTE CHINESE.
page 6	MERCANTILE BANE OF INDIA LIMITED.
page 6	CRIMINAL SESSIONS.
page 6	KWANGTUNG NEWS.
page 6	THE BANDMANN OPERA COMPANY.
page 7	FURTHER DETAILS.
page 7	A PATHETIC INCIDENT.
page 7	SEVEN PASSENGERS MISSING.
page 7	PTTIABLE SCENES.
page 7	THE GREAT STRIKE.
page 7	NEGOTIATIONS FAIL.
page 7	GOVERNMENT ACTION.
page 7	GOVERNMENT MAY WORK MINES.
page 7	THE GOVERNM NT'S DILEMMA.
page 7	MORE UNEMPLOYED.
page 7	MINERS JUBILANT.
page 7	THE ONLY HOPE.
page 7	THE KING INFORMED.
page 7	PREPARING THE BILL.
page 7	THE WORKERS POWER.
page 7	CNINGESE AFFAIRS.
page 7	APPOINTMENT OF DIPLOMATISTS.
page 7	KIDNAPPING AT SHANGHAI.
page 7	RUSSIA INTERFERES.
page 7	DISCONTENTED SOLDIERS.
page 7	SUN YAT-SEN TO REMAIN AT NANKING.
page 7	CABINET MAKI G INTERRUPTED.
page 7	THE SWATOW TROUBLE.
page 7	HONKONG UNIVERSITY.
page 7	SIR CHARLES ELIOT TO BE PRINCIPAL.
page 7	FREE SUGAR BILL.
page 7	THE WAR.
page 7	ITALY REPLIES TO POWERS.
page 7	ANOTHER UNOPPOSED RETURN.
page 7	GERMAN POLITICS.
page 7	FINANCIAL SECRETARY RETIRES.
page 7	THE DISPUTE.
page 7	THE VIRGINIAN SENSATION.
page 7	ARGERNTINE CROPS.
page 7	THE BOAT BACE.
page 7	OXFORD'S TRIAL EFFORT.
page 7	JAPAN AS PEACE GUARANTEE.
page 7	MR JACOB SCHIFF'S I DECLARATION.
page 7	THE BATTLESHIP MAINE.
page 7	SUNK AGAIN.
