page 4	TWO very interesting discussions took place during August, the one in the old world university town of Cambridge, the other at a conference in London, concerning some of the national characteristics.
page 5	BRITAINS UNEMPLOYED.
page 5	ROYAL COMMISSION ON COMPULSORY STATE INSURANCE PROMISED.
page 5	CHINA'S PARLIAMENT.
page 5	EMPRESS DOWAGER ARRANGES FOR APPOINTMENT OF PREMIER.
page 5	SERIOUS RIOT.
page 5	BETWEEN SOLDIERS AND POLICE.
page 5	CHINA AND TIBET.
page 5	THRONE MEMORALIZED TO COME TO ARRANGEMENT.
page 5	GERMANY'S FINANCES.
page 5	QUEEN WILHELMINA.
page 5	LAUNCH OF A BATTLESHIP.
page 5	THE GLASGOW UNEMPLOYED.
page 5	CHOLERA IN RUSSIA.
page 5	DEATHS IN ST. PETERSBURG.
page 5	THE OPIUM QUESTION.
