page 2	THE Peking Gazette of the 27th May contains a memorial, extending over a column, from Ting Jih - chang, Governor of Fokhien, praying to be relieved from the duties of his post, on account of bad health.
page 3	REUTER'S TELEGRAMS.
page 3	LOCAL AND GENERAL.
page 3	Police Intelligence.
page 3	AN UNTRUTHFUL AMAR.
page 3	DRUNKENNESS.
page 3	THE CHAIR NUISANCE.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	THE TANK LANE MURDER.
page 3	DAVE CARSON AT THE CITY BALL.
page 3	THE SHEK - O MURDER.
page 3	THE FOREMAN OF THE JURY.
page 3	THE COLLISION BETWEEN THE KHEDIVE AND THE VOORWAARTS.
