page 2	WE believe that the Executive has passed over to the Chief Justice the delicate duty of deciding as to whether any interest is to be allowed upon moneys which have remained for years in the Colonial Trensary.
page 3	PROPOSAL TO PAY ARREARS OF IRTSH RENT OUT OF CHURGH FUND SCRPLUS.
page 3	ANOTHER OUTRAGE UNSUCCESSFUL.
page 3	CUTTING AND WOUNDING.
page 3	FIGHTING.
page 3	GAMBLING.
page 3	CAUSING AN OBSTRUCTION ON THE SHAU-KI-WAN ROAD.
page 3	PICK POCKETS.
page 3	LARCENY OF SHOES.
page 3	THEFT OF JACKETS.
page 3	STEALING A PILLOW BOX.
page 3	DISPUTANTS IN A THEATRE.
