page 2	IN the discussion which took place upon the reading of Sir John Smale's paper on the evils of Hongkong, some fairly good home-thrasts were dealt, even amongst the kindred spirts of a small organization like that of the National Association for the Promotion of Social Science.
page 3	LARCENY.
page 3	KIDNAPPING.
page 3	ATTEMPTED LARCENY OF A SMAPAN.
page 3	A PICKPOCKET.
page 3	UNLAWFUL POSSESSION.
page 3	DRUNK AND DISORDERLY.
page 3	ASSAULT BY AN EUROPEAN.
page 3	THEFT FROM THE "RAVEN".
page 3	A ROW IN A BROTHEL.
page 3	PROVIDING FOR HIS WANTS.
page 3	AN ENRAGED MURIC TEACHER.
