page 3	THE CHANCKLLOR AT ABEBDEEN.
page 6	THE TRAMWAY BOYCOTT.
page 6	CHINESE IN EAST INDIES.
page 6	SOCIAL AND PERSONAL.
page 6	CHRISTMAS DAY WITH THE BRITISH TROOPS IN HONGKONG.
page 6	THE CHEUNG CHAU PIRACY.
page 7	BRITAIN'S "MERRY XMAS!"
page 7	A GALE AND CONTINUOUS RAIN.
page 7	SAD FATALITES.
page 7	BRITISH STEAMER ASHORE.
page 7	TERRIFIC STORMS.
page 7	THE DELHI OUTRAGE.
page 7	VICEROY MUCH BETTER.
page 7	LORD HARKINGE PASSES A GOOD NIGHT.
page 7	EFFECT OF THE REWARDS.
page 7	BRITISH INSURANCE ACT.
page 7	PANELS NOW BEING FORMED.
page 7	THE KING UNWELL.
page 7	SUFFERING FROM A CHILL.
page 7	THE SANDRINGHAM SHOOT.
page 7	CHINESE NEWS.
page 7	ATTEMPTED ASSASSINATION.
page 7	CHINESE MINISTER FIRED AT IN LONDON.
page 7	BOMB OUTRAGE AT FOOCHOW.
page 7	OFFICER'S FAMILY WIPED OUT.
page 7	THE FERRIS-HARTMANN COMPANY.
page 7	A GAMBLING DEBT.
