page 2	IT becomes clearer every day that the time has arrived for the British and other foreign Ministers at Peking to take some energeticsteps for increasing the trading facilities with the Southern Provinces of China.
page 3	THE RENEWED ATTACK ON SUARIM.
page 3	RAILWAY ACCIDENT IN ENGLAND.
page 3	DEATH OF LORD C. HAMILTON.
page 3	EXPECTED FALL OF KHARTOUM.
page 3	MARINES FOR SUAKIM.
page 3	MILITARY PREPARATIONS SUSPENDED.
page 3	ADMIRAL HEWETT'S MISSION.
page 3	PARLIAMENT SITTING ACAIN.
page 3	REPORTED ESCAAPE OF GENERAL GORDON AND EXPECTED ATTACK ON SUAKIM.
page 3	THE EGYPTIAN CONFERENOE.
page 3	MORE TROOPS ORERED TO SUAKIM.
page 3	FALL OF BERBER.
page 3	THE EGYPTIAN CONFERENCE-A MULTIPLE CONTROL.
page 3	THE CAPTIVE CREW OF THE 'NISERO'.
page 3	THE TURKISH TROOPS NOT TO BE EMPLOYED IN THE PACIFICATION OF THE SOUDAN.
page 3	THE DYANMITERS-DIPLOMATIC REJPRE-SENTATIONS.
page 3	THE FALL OF BERBER-THE GOVERNOR AND THE GARRISON MASSACRED.
page 3	THE PRESIDENCY OF THE UNITED STATES.
page 3	THE PORTE AND THE EGYPTIAN CONFERENCE.
